Species,Flow.tph,Flow,Flow.lph,Flow.Scatter,Sample,Mass.Initial,Mass.Final,Mass.Dif,Mass.PerInc,Vol.Initial,Vol.Final,Vol.Dif,Vol.PerInc
M.capitata,0,0 tph,0,1,X1,6.3,7.6,1.3,20.6,5,5,0,0
M.capitata,0,0 tph,0,1,X2,6,6.2,0.2,3.3,5,4,-1,-20
M.capitata,0,0 tph,0,1,X3,5.7,6.5,0.8,14,5,5,0,0
M.capitata,0,0 tph,0,1,Y1,5.9,6.2,0.3,5.1,4,5,1,25
M.capitata,0,0 tph,0,1,Y2,5.8,6.9,1.1,19,4,5,1,25
M.capitata,0,0 tph,0,1,Y3,6,6.3,0.3,5,4.5,5,0.5,11.1
M.capitata,0,0 tph,0,1,Z1,5.6,5.8,0.2,3.6,5,6,1,20
M.capitata,0,0 tph,0,1,Z2,5,5,0,0,3,6,3,100
M.capitata,0,0 tph,0,1,Z3,6.4,7.1,0.7,10.9,5,7,2,40
M.capitata,50,50 tph,450,250,X1,6.9,7.6,0.7,10.1,4,5,1,25
M.capitata,50,50 tph,450,250,X2,7.1,7.9,0.8,11.3,5,7,2,40
M.capitata,50,50 tph,450,250,X3,5.8,6.3,0.5,8.6,4,4,0,0
M.capitata,50,50 tph,450,250,Y1,6.6,7.4,0.8,12.1,5,5,0,0
M.capitata,50,50 tph,450,250,Y2,6.7,7.9,1.2,17.9,6,6,0,0
M.capitata,50,50 tph,450,250,Y3,5.4,6,0.6,11.1,4,5,1,25
M.capitata,50,50 tph,450,250,Z1,7.4,8.5,1.1,14.9,6,6,0,0
M.capitata,50,50 tph,450,250,Z2,8.5,9,0.5,5.9,5,6,1,20
M.capitata,50,50 tph,450,250,Z3,7.9,9.5,1.6,20.3,6,6,0,0
M.capitata,100,100 tph,900,500,X1,7.7,8.7,1,13,5.5,6,0.5,9.1
M.capitata,100,100 tph,900,500,X2,6.8,7.6,0.8,11.8,4.5,5,0.5,11.1
M.capitata,100,100 tph,900,500,X3,6.2,7.1,0.9,14.5,4,5,1,25
M.capitata,100,100 tph,900,500,Y1,6.8,6.9,0.1,1.5,5,6,1,20
M.capitata,100,100 tph,900,500,Y2,6.8,8.2,1.4,20.6,5.5,7,1.5,27.3
M.capitata,100,100 tph,900,500,Y3,6.9,7.9,1,14.5,5,6,1,20
M.capitata,100,100 tph,900,500,Z1,7.5,10.1,2.6,34.7,6,9,3,50
M.capitata,100,100 tph,900,500,Z2,6.1,7.3,1.2,19.7,5,6,1,20
M.capitata,100,100 tph,900,500,Z3,7.9,8.9,1,12.7,6,6,0,0
M.capitata,190,190 tph,1710,950,X1,6.2,6.9,0.7,11.3,5,6,1,20
M.capitata,190,190 tph,1710,950,X2,6.2,6.5,0.3,4.8,4.5,4,-0.5,-11.1
M.capitata,190,190 tph,1710,950,X3,7.8,7.7,-0.1,-1.3,5,5,0,0
M.capitata,190,190 tph,1710,950,Y1,7,7.8,0.8,11.4,5,5,0,0
M.capitata,190,190 tph,1710,950,Y2,8.4,8.7,0.3,3.6,6,7,1,16.7
M.capitata,190,190 tph,1710,950,Y3,5.8,6.3,0.5,8.6,5,5,0,0
M.capitata,190,190 tph,1710,950,Z1,5.7,6.6,0.9,15.8,4,6,2,50
M.capitata,190,190 tph,1710,950,Z2,8,9.6,1.6,20,6,9,3,50
M.capitata,190,190 tph,1710,950,Z3,7.2,8.3,1.1,15.3,5,6,1,20
M.capitata,330,330 tph,2970,1650,X1,8.1,10,1.9,23.5,6,8,2,33.3
M.capitata,330,330 tph,2970,1650,X2,7,7.3,0.3,4.3,5,6,1,20
M.capitata,330,330 tph,2970,1650,X3,7.7,8,0.3,3.9,4.5,5,0.5,11.1
M.capitata,330,330 tph,2970,1650,Y1,7.2,8.2,1,13.9,5,5,0,0
M.capitata,330,330 tph,2970,1650,Y2,7.5,7.8,0.3,4,6,7,1,16.7
M.capitata,330,330 tph,2970,1650,Y3,6.3,9.2,2.9,46,5,6,1,20
