Species,Flow.tph,Flow,Flow.lph,Sample,Mass.W0,Mass.W8,Mass.W23,Mass.Dif08,Mass.PerInc08,Mass.Dif823,Mass.PerInc823,Mass.Dif023,Mass.PerInc023
M.capitata,0,0 tph,0,X1,7.94,8.04,8.26,0.1,1.26,0.22,2.75,0.32,4.04
M.capitata,0,0 tph,0,X2,8.92,9.23,9.62,0.31,3.48,0.39,4.25,0.7,7.87
M.capitata,0,0 tph,0,X3,9.46,9.76,10.23,0.3,3.17,0.47,4.77,0.77,8.1
M.capitata,0,0 tph,0,X4,8.28,8.71,9.23,0.43,5.19,0.52,6.02,0.95,11.52
M.capitata,0,0 tph,0,Y1,9.29,9.46,9.75,0.17,1.83,0.29,3.1,0.46,4.98
M.capitata,0,0 tph,0,Y2,8.49,8.96,9.56,0.47,5.54,0.6,6.65,1.07,12.56
M.capitata,0,0 tph,0,Y3,9.44,9.4,9.66,-0.04,-0.42,0.26,2.78,0.22,2.34
M.capitata,0,0 tph,0,Y4,8.81,9.19,9.46,0.38,4.31,0.27,2.96,0.65,7.4
M.capitata,0,0 tph,0,Z1,8.16,8.27,8.58,0.11,1.35,0.31,3.77,0.42,5.17
M.capitata,0,0 tph,0,Z2,7.83,7.8,8.08,-0.03,-0.38,0.28,3.6,0.25,3.21
M.capitata,0,0 tph,0,Z3,10.78,10.99,11.41,0.21,1.95,0.42,3.86,0.63,5.88
M.capitata,0,0 tph,0,Z4,10.24,10.76,11.9,0.52,5.08,1.14,10.57,1.66,16.18
M.capitata,4,4 tph,36,X1,10.08,10.76,11.45,0.68,6.75,0.69,6.39,1.37,13.57
M.capitata,4,4 tph,36,X2,7.44,7.88,8.55,0.44,5.91,0.67,8.55,1.11,14.97
M.capitata,4,4 tph,36,X3,8.4,8.89,9.62,0.49,5.83,0.73,8.16,1.22,14.46
M.capitata,4,4 tph,36,X4,8.71,9.19,10.15,0.48,5.51,0.96,10.44,1.44,16.52
M.capitata,4,4 tph,36,Y1,8.43,8.76,9.07,0.33,3.91,0.31,3.48,0.64,7.53
M.capitata,4,4 tph,36,Y2,10.31,10.64,12.24,0.33,3.2,1.6,15,1.93,18.68
M.capitata,4,4 tph,36,Y3,7.84,8.16,8.45,0.32,4.08,0.29,3.6,0.61,7.83
M.capitata,4,4 tph,36,Y4,11.46,11.55,13.61,0.09,0.79,2.06,17.79,2.15,18.72
M.capitata,4,4 tph,36,Z1,7.77,8.12,8.6,0.35,4.5,0.48,5.86,0.83,10.63
M.capitata,4,4 tph,36,Z2,9.04,9.52,10.15,0.48,5.31,0.63,6.59,1.11,12.25
M.capitata,4,4 tph,36,Z3,8.79,8.97,9.64,0.18,2.05,0.67,7.42,0.85,9.62
M.capitata,4,4 tph,36,Z4,12.35,12.73,14.2,0.38,3.08,1.47,11.58,1.85,15.01
M.capitata,30,30 tph,270,X1,10.34,10.92,12.23,0.58,5.61,1.31,12.02,1.89,18.31
M.capitata,30,30 tph,270,X2,9.88,10.35,11.55,0.47,4.76,1.2,11.62,1.67,16.93
M.capitata,30,30 tph,270,X3,9.1,9.21,10.45,0.11,1.21,1.24,13.51,1.35,14.88
M.capitata,30,30 tph,270,X4,8.53,8.78,9.46,0.25,2.93,0.68,7.76,0.93,10.91
M.capitata,30,30 tph,270,Y1,8.44,8.77,8.78,0.33,3.91,0.01,0.09,0.34,4
M.capitata,30,30 tph,270,Y2,9.27,9.66,10.24,0.39,4.21,0.58,5.98,0.97,10.44
M.capitata,30,30 tph,270,Y3,6.94,7.34,7.88,0.4,5.76,0.54,7.33,0.94,13.52
M.capitata,30,30 tph,270,Y4,6.7,7.24,7.19,0.54,8.06,-0.05,-0.69,0.49,7.31
M.capitata,30,30 tph,270,Z1,9.85,10.55,11.28,0.7,7.11,0.73,6.96,1.43,14.56
M.capitata,30,30 tph,270,Z2,9.27,9.62,10.77,0.35,3.78,1.15,11.9,1.5,16.13
M.capitata,30,30 tph,270,Z3,8.57,8.98,9.28,0.41,4.78,0.3,3.36,0.71,8.31
M.capitata,30,30 tph,270,Z4,6.82,7.5,7.92,0.68,9.97,0.42,5.64,1.1,16.17
M.capitata,105,105 tph,945,X1,7.74,8.1,8.22,0.36,4.65,0.12,1.49,0.48,6.21
M.capitata,105,105 tph,945,X2,10.14,10.88,11.5,0.74,7.3,0.62,5.67,1.36,13.38
M.capitata,105,105 tph,945,X3,7.91,8.03,8.29,0.12,1.52,0.26,3.23,0.38,4.79
M.capitata,105,105 tph,945,X4,11.18,12.22,12.41,1.04,9.3,0.19,1.59,1.23,11.04
M.capitata,105,105 tph,945,Y1,8.37,9.2,9.44,0.83,9.92,0.24,2.63,1.07,12.81
M.capitata,105,105 tph,945,Y2,7.49,7.67,7.69,0.18,2.4,0.02,0.3,0.2,2.71
M.capitata,105,105 tph,945,Y3,8.67,9.16,9.91,0.49,5.65,0.75,8.18,1.24,14.29
M.capitata,105,105 tph,945,Y4,10.61,10.34,11.07,-0.27,-2.54,0.73,7.03,0.46,4.31
M.capitata,105,105 tph,945,Z1,7.16,7.62,8.43,0.46,6.42,0.81,10.64,1.27,17.75
M.capitata,105,105 tph,945,Z2,10.82,11.12,12.24,0.3,2.77,1.12,10.03,1.42,13.08
