Species,Ave.Mass.PerInc,Colony,Flow,Stdev.Aves
M.capitata,1.48,1,0 tph,0.31
M.capitata,5.06,1,4 tph,1.5
M.capitata,5.54,1,30 tph,1.6
M.capitata,7,1,105 tph,2.68
M.capitata,1.65,1,210 tph,4.34
M.capitata,2.88,2,0 tph,3.01
M.capitata,4.81,2,4 tph,1.42
M.capitata,4.25,2,30 tph,0.49
M.capitata,4.16,2,105 tph,2.73
M.capitata,2.28,2,210 tph,2.14
M.capitata,1.57,3,0 tph,1.83
M.capitata,3.99,3,4 tph,1.89
M.capitata,3.92,3,30 tph,2.39
M.capitata,3.92,3,105 tph,2.15
M.capitata,2.83,3,210 tph,0.35
M.capitata,4.86,4,0 tph,0.48
M.capitata,3.12,4,4 tph,2.36
M.capitata,6.99,4,30 tph,3.64
M.capitata,4.24,4,105 tph,6.11
M.capitata,3.23,4,210 tph,0.89
P.acuta,6.28,5,0 tph,1.57
P.acuta,8.48,5,4 tph,2.93
P.acuta,10.82,5,30 tph,6.2
P.acuta,10.38,5,105 tph,0.24
P.acuta,3.16,5,210 tph,1.5
P.acuta,10.16,6,0 tph,1.6
P.acuta,10.77,6,4 tph,3.95
P.acuta,12.6,6,30 tph,1.73
P.acuta,12.77,6,105 tph,4.05
P.acuta,8.47,6,210 tph,2.36
P.acuta,6.53,7,0 tph,2.1
P.acuta,5.59,7,4 tph,5.82
P.acuta,6.07,7,30 tph,0.92
P.acuta,5.15,7,105 tph,1.32
P.acuta,1.66,7,210 tph,4.04
P.acuta,6.71,8,0 tph,4.05
P.acuta,4.56,8,4 tph,1.13
P.acuta,7.4,8,30 tph,4.59
P.acuta,9.7,8,105 tph,4.01
P.acuta,6.47,8,210 tph,1.39
P.meandrina,1.04,9,0 tph,0.76
P.meandrina,1.76,9,4 tph,0.8
P.meandrina,2.31,9,30 tph,1.49
P.meandrina,1.22,9,105 tph,0.07
P.meandrina,1.66,9,210 tph,0.25
P.meandrina,2.23,10,0 tph,0.33
P.meandrina,4.06,10,4 tph,2.33
P.meandrina,3.69,10,30 tph,0.61
P.meandrina,2.59,10,105 tph,1.65
P.meandrina,3.39,10,210 tph,3.15
P.meandrina,2.84,11,0 tph,0.42
P.meandrina,2.23,11,4 tph,1.01
P.meandrina,3.94,11,30 tph,1.2
P.meandrina,2.51,11,105 tph,0.7
P.meandrina,1.29,11,210 tph,0.66
P.meandrina,1.63,12,0 tph,0.49
P.meandrina,1.95,12,4 tph,1.37
P.meandrina,3.44,12,30 tph,1.27
P.meandrina,1.81,12,105 tph,0.74
P.meandrina,1.66,12,210 tph,1.49
