Corrected.Temp.Mid,Temp.Edge
29.33,28.853
29.631,29.352
29.631,29.552
29.631,29.352
29.631,29.252
29.631,29.152
29.53,28.953
29.43,28.953
29.43,28.953
29.33,28.853
29.33,28.953
29.23,28.953
29.13,28.853
29.13,28.754
29.03,28.754
29.03,28.655
29.03,28.655
29.03,28.555
29.03,28.555
29.03,28.555
29.13,28.456
29.13,28.258
29.23,28.06
29.23,27.862
29.13,28.258
29.13,28.456
29.13,28.456
29.13,28.456
29.13,28.456
29.13,28.357
29.03,28.357
29.03,28.357
29.03,28.357
29.03,28.357
28.93,28.357
28.93,28.258
28.93,28.159
28.93,28.159
28.93,28.754
28.93,28.754
28.93,28.754
28.831,28.953
28.831,28.953
28.731,29.053
28.731,29.152
28.731,29.152
28.631,29.352
28.631,29.152
28.631,29.152
28.631,29.152
28.631,29.053
28.631,28.953
28.631,28.853
28.631,28.754
28.631,28.853
28.631,28.754
28.631,28.853
28.631,28.754
28.631,28.754
28.631,28.754
28.631,28.754
28.631,28.655
28.631,28.655
28.631,28.655
28.631,28.555
28.631,28.555
28.631,28.555
28.631,28.555
28.631,28.555
28.631,28.456
28.631,28.456
28.631,28.357
28.631,28.357
28.631,28.357
28.731,28.357
28.831,28.357
28.93,28.357
29.03,28.357
29.13,28.357
29.03,28.258
29.33,28.258
29.03,28.258
29.03,28.258
29.03,28.357
29.13,28.456
29.53,28.555
29.731,28.655
29.731,29.252
29.631,29.352
29.631,29.752
29.53,29.352
29.53,29.053
29.43,29.252
29.43,29.152
29.33,29.252
29.33,29.152
29.33,29.152
29.33,29.252
29.33,29.152
29.33,29.053
29.23,29.053
29.23,29.053
29.23,28.953
29.13,28.953
29.03,28.953
29.03,28.953
29.03,28.953
29.13,28.953
29.13,28.953
29.13,28.853
29.13,28.853
29.13,28.853
29.13,28.754
29.13,28.754
29.03,28.754
29.03,28.754
29.13,28.655
29.03,28.655
29.03,28.655
29.03,28.555
29.03,28.555
29.03,28.456
29.03,28.555
29.03,28.456
29.03,28.555
28.93,28.555
28.93,28.456
28.93,28.456
28.93,28.456
28.93,28.456
28.93,28.456
28.93,28.555
28.93,28.655
28.93,28.754
28.93,28.953
28.93,29.953
28.831,30.659
28.831,29.652
28.831,29.552
28.831,29.652
28.831,29.652
28.831,29.652
28.831,30.154
28.831,29.853
28.831,30.054
28.831,29.853
28.731,29.652
28.731,29.752
28.731,29.452
28.731,29.352
28.731,29.252
28.731,29.252
28.731,29.152
28.731,29.053
28.731,29.053
28.731,28.953
28.731,28.853
28.731,28.853
28.631,28.853
28.631,28.754
28.631,28.655
28.631,28.655
28.631,28.655
28.631,28.555
28.631,28.555
28.731,28.555
28.731,28.456
28.731,28.357
28.831,28.357
28.93,28.357
28.93,28.357
29.03,28.258
28.93,28.258
29.43,28.159
29.631,28.159
29.731,28.258
29.731,28.258
29.43,28.258
30.134,28.357
29.631,28.357
29.731,28.555
29.33,28.853
29.43,28.953
29.53,29.152
29.53,29.452
